Book title,price,rating,availibility
The Secret Garden,£15.08,Four,In stock
The Metamorphosis,£28.58,One,In stock
The Pilgrim's Progress,£50.26,Two,In stock
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,Two,In stock
Little Women (Little Women #1),£28.07,Four,In stock
Gone with the Wind,£32.49,Three,In stock
Candide,£58.63,Three,In stock
Animal Farm,£57.22,Three,In stock
Wuthering Heights,£17.73,Three,In stock
The Picture of Dorian Gray,£29.70,Two,In stock
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,Four,In stock
Beowulf,£38.35,Two,In stock
And Then There Were None,£35.01,Two,In stock
The Story of Hong Gildong,£43.19,Four,In stock
The Little Prince,£45.42,Two,In stock
Sense and Sensibility,£37.46,One,In stock
Of Mice and Men,£47.11,Two,In stock
Emma,£32.93,Two,In stock
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,One,In stock
